,MESS_DATUM,GS_10
0,202111150000,0.0
1,202111150015,0.0
2,202111150030,0.0
3,202111150045,0.0
4,202111150100,0.0
5,202111150115,0.0
6,202111150130,0.0
7,202111150145,0.0
8,202111150200,0.0
9,202111150215,0.0
10,202111150230,0.0
11,202111150245,0.0
12,202111150300,0.0
13,202111150315,0.0
14,202111150330,0.0
15,202111150345,0.0
16,202111150400,0.0
17,202111150415,0.0
18,202111150430,0.0
19,202111150445,0.0
20,202111150500,0.0
21,202111150515,0.0
22,202111150530,0.0
23,202111150545,0.0
24,202111150600,0.0
25,202111150615,0.0
26,202111150630,0.0
27,202111150645,0.15000000000000002
28,202111150700,0.15000000000000002
29,202111150715,0.35
30,202111150730,0.55
31,202111150745,0.8
32,202111150800,1.0
33,202111150815,1.3
34,202111150830,1.5
35,202111150845,1.7000000000000002
36,202111150900,1.7999999999999998
37,202111150915,2.0
38,202111150930,2.2
39,202111150945,2.3
40,202111151000,2.3
41,202111151015,2.0999999999999996
42,202111151030,2.0999999999999996
43,202111151045,2.0999999999999996
44,202111151100,2.3
45,202111151115,2.55
46,202111151130,2.25
47,202111151145,2.15
48,202111151200,1.95
49,202111151215,1.6500000000000001
50,202111151230,1.55
51,202111151245,1.5
52,202111151300,1.6
53,202111151315,1.6
54,202111151330,1.5
55,202111151345,1.1
56,202111151400,0.7
57,202111151415,0.55
58,202111151430,0.35
59,202111151445,0.30000000000000004
60,202111151500,0.2
61,202111151515,0.15000000000000002
62,202111151530,0.05
63,202111151545,0.0
64,202111151600,0.0
65,202111151615,0.0
66,202111151630,0.0
67,202111151645,0.0
68,202111151700,0.0
69,202111151715,0.0
70,202111151730,0.0
71,202111151745,0.0
72,202111151800,0.0
73,202111151815,0.0
74,202111151830,0.0
75,202111151845,0.0
76,202111151900,0.0
77,202111151915,0.0
78,202111151930,0.0
79,202111151945,0.0
80,202111152000,0.0
81,202111152015,0.0
82,202111152030,0.0
83,202111152045,0.0
84,202111152100,0.0
85,202111152115,0.0
86,202111152130,0.0
87,202111152145,0.0
88,202111152200,0.0
89,202111152215,0.0
90,202111152230,0.0
91,202111152245,0.0
92,202111152300,0.0
93,202111152315,0.0
94,202111152330,0.0
95,202111152345,0.0
96,202111160000,0.0
97,202111160015,0.0
98,202111160030,0.0
99,202111160045,0.0
100,202111160100,0.0
101,202111160115,0.0
102,202111160130,0.0
103,202111160145,0.0
104,202111160200,0.0
105,202111160215,0.0
106,202111160230,0.0
107,202111160245,0.0
108,202111160300,0.0
109,202111160315,0.0
110,202111160330,0.0
111,202111160345,0.0
112,202111160400,0.0
113,202111160415,0.0
114,202111160430,0.0
115,202111160445,0.0
116,202111160500,0.0
117,202111160515,0.0
118,202111160530,0.0
119,202111160545,0.0
120,202111160600,0.0
121,202111160615,0.0
122,202111160630,0.0
123,202111160645,0.15000000000000002
124,202111160700,0.25
125,202111160715,0.5
126,202111160730,0.7
127,202111160745,0.8999999999999999
128,202111160800,1.1
129,202111160815,1.4500000000000002
130,202111160830,1.85
131,202111160845,2.2
132,202111160900,2.0999999999999996
133,202111160915,2.15
134,202111160930,2.25
135,202111160945,2.5
136,202111161000,2.7
137,202111161015,3.2
138,202111161030,3.2
139,202111161045,2.9000000000000004
140,202111161100,2.5
141,202111161115,2.3
142,202111161130,2.5
143,202111161145,2.45
144,202111161200,2.05
145,202111161215,1.85
146,202111161230,1.9500000000000002
147,202111161245,1.75
148,202111161300,1.55
149,202111161315,1.35
150,202111161330,1.25
151,202111161345,1.0
152,202111161400,0.7
153,202111161415,0.55
154,202111161430,0.35
155,202111161445,0.25
156,202111161500,0.15000000000000002
157,202111161515,0.0
158,202111161530,0.0
159,202111161545,0.0
160,202111161600,0.0
161,202111161615,0.0
162,202111161630,0.0
163,202111161645,0.0
164,202111161700,0.0
165,202111161715,0.0
166,202111161730,0.0
167,202111161745,0.0
168,202111161800,0.0
169,202111161815,0.0
170,202111161830,0.0
171,202111161845,0.0
172,202111161900,0.0
173,202111161915,0.0
174,202111161930,0.0
175,202111161945,0.0
176,202111162000,0.0
177,202111162015,0.0
178,202111162030,0.0
179,202111162045,0.0
180,202111162100,0.0
181,202111162115,0.0
182,202111162130,0.0
183,202111162145,0.0
184,202111162200,0.0
185,202111162215,0.0
186,202111162230,0.0
187,202111162245,0.0
188,202111162300,0.0
189,202111162315,0.0
190,202111162330,0.0
191,202111162345,0.0
192,202111170000,0.0
193,202111170015,0.0
194,202111170030,0.0
195,202111170045,0.0
196,202111170100,0.0
197,202111170115,0.0
198,202111170130,0.0
199,202111170145,0.0
200,202111170200,0.0
201,202111170215,0.0
202,202111170230,0.0
203,202111170245,0.0
204,202111170300,0.0
205,202111170315,0.0
206,202111170330,0.0
207,202111170345,0.0
208,202111170400,0.0
209,202111170415,0.0
210,202111170430,0.0
211,202111170445,0.0
212,202111170500,0.0
213,202111170515,0.0
214,202111170530,0.0
215,202111170545,0.0
216,202111170600,0.0
217,202111170615,0.0
218,202111170630,0.0
219,202111170645,0.05
220,202111170700,0.15000000000000002
221,202111170715,0.2
222,202111170730,0.4
223,202111170745,0.8
224,202111170800,0.7
225,202111170815,1.0
226,202111170830,2.1
227,202111170845,2.15
228,202111170900,3.25
229,202111170915,6.8
230,202111170930,7.1
231,202111170945,7.4
232,202111171000,9.4
233,202111171015,11.8
234,202111171030,10.3
235,202111171045,9.5
236,202111171100,9.3
237,202111171115,7.0
238,202111171130,7.300000000000001
239,202111171145,4.0
240,202111171200,3.4000000000000004
241,202111171215,3.0999999999999996
242,202111171230,1.5
243,202111171245,2.45
244,202111171300,2.95
245,202111171315,2.55
246,202111171330,2.8499999999999996
247,202111171345,2.1500000000000004
248,202111171400,1.15
249,202111171415,0.8999999999999999
250,202111171430,1.2
251,202111171445,0.75
252,202111171500,0.35
253,202111171515,0.1
254,202111171530,0.0
255,202111171545,0.0
256,202111171600,0.0
257,202111171615,0.0
258,202111171630,0.0
259,202111171645,0.0
260,202111171700,0.0
261,202111171715,0.0
262,202111171730,0.0
263,202111171745,0.0
264,202111171800,0.0
265,202111171815,0.0
266,202111171830,0.0
267,202111171845,0.0
268,202111171900,0.0
269,202111171915,0.0
270,202111171930,0.0
271,202111171945,0.0
272,202111172000,0.0
273,202111172015,0.0
274,202111172030,0.0
275,202111172045,0.0
276,202111172100,0.0
277,202111172115,0.0
278,202111172130,0.0
279,202111172145,0.0
280,202111172200,0.0
281,202111172215,0.0
282,202111172230,0.0
283,202111172245,0.0
284,202111172300,0.0
285,202111172315,0.0
286,202111172330,0.0
287,202111172345,0.0
288,202111180000,0.0
289,202111180015,0.0
290,202111180030,0.0
291,202111180045,0.0
292,202111180100,0.0
293,202111180115,0.0
294,202111180130,0.0
295,202111180145,0.0
296,202111180200,0.0
297,202111180215,0.0
298,202111180230,0.0
299,202111180245,0.0
300,202111180300,0.0
301,202111180315,0.0
